Item_Weight,Item_Fat_Content,Item_Visibility,Item_MRP,Outlet_Type,Outlet_Age,Item_Category,Outlet_Identifier_Encoded
9.5,1,0.035205866,171.3448,2316.181148108302,10,1,2348.354634623656
18.0,0,0.047473135,170.5422,2316.181148108302,7,2,2192.384797631862
17.6,1,0.076121831,111.7202,2316.181148108302,12,1,2277.8442668817206
8.325,0,0.029845243,41.6138,2316.181148108302,7,1,2192.384797631862
12.85,0,0.137227848,155.563,2316.181148108302,12,1,2277.8442668817206
17.2,1,0.099780431,225.2088,339.8285004616805,24,1,340.3297227272727
17.6,0,0.014008751,171.3422,339.8285004616805,24,1,340.3297227272727
12.15,1,0.13283066,190.6872,2316.181148108302,2,1,2340.67526349892
13.85,0,0.031338558,41.048,2316.181148108302,12,2,2277.8442668817206
13.8,1,0.056596985,230.9984,3694.0385576470585,24,1,3694.0385576470585
20.0,1,0.100262068,169.6132,339.8285004616805,11,1,339.351661981982
7.825,0,0.079952983,62.7826,1995.498739224138,0,1,1995.498739224138
19.25,0,0.107940533,35.5558,2316.181148108302,22,2,2298.995255579399
6.11,1,0.151925271,43.0086,2316.181148108302,10,0,2348.354634623656
16.35,0,0.029445361,257.6646,2316.181148108302,12,2,2277.8442668817206
15.75,0,0.14048631,252.7382,2316.181148108302,22,0,2298.995255579399
16.1,1,0.013529884,106.2596,3694.0385576470585,24,1,3694.0385576470585
17.7,1,0.041098734,80.9276,1995.498739224138,0,1,1995.498739224138
21.25,0,0.114246019,231.23,2316.181148108302,2,2,2340.67526349892
17.25,1,0.047266211,97.0068,2316.181148108302,12,1,2277.8442668817206
14.5,1,0.063993068,260.4594,2316.181148108302,7,1,2192.384797631862
8.02,0,0.0198840304999999,157.7972,2316.181148108302,22,2,2298.995255579399
12.35,0,0.026832182,57.3246,2316.181148108302,2,1,2340.67526349892
16.75,0,0.032652796,190.8162,2316.181148108302,7,2,2192.384797631862
5.11,0,0.034874689,161.721,2316.181148108302,12,2,2277.8442668817206
15.1,0,0.055793586,139.7496,2316.181148108302,22,2,2298.995255579399
15.75,0,0.134418705,99.67,3694.0385576470585,24,2,3694.0385576470585
8.5,0,0.098083231,50.3324,2316.181148108302,7,1,2192.384797631862
10.0,1,0.063121982,231.7668,2316.181148108302,22,1,2298.995255579399
16.6,0,0.122204371,173.5738,2316.181148108302,5,1,2438.841866021505
14.6,1,0.043133816,109.7254,1995.498739224138,0,1,1995.498739224138
19.1,0,0.075836522,40.2138,339.8285004616805,11,0,339.351661981982
14.8,0,0.019476708,193.0794,2316.181148108302,5,2,2438.841866021505
20.85,0,0.121227447,197.5452,2316.181148108302,5,1,2438.841866021505
16.0,1,0.099188598,88.9856,2316.181148108302,22,1,2298.995255579399
11.5,0,0.045900448,118.9124,3694.0385576470585,24,1,3694.0385576470585
