Item_Weight,Item_Fat_Content,Item_Visibility,Item_MRP,Outlet_Size,Outlet_Location_Type,Outlet_Type,Outlet_Age,Item_Category,Outlet_Identifier_Encoded
14.3,0,0.026299797,79.4302,2298.995255579399,2279.6276513432836,2316.181148108302,22,1,2298.995255579399
7.93,0,0.07113587,42.7086,1867.1828137974155,1876.909159128978,2316.181148108302,12,2,2277.8442668817206
14.5,1,0.041313203,42.0454,2681.603541568206,1876.909159128978,2316.181148108302,10,1,2348.3546346236562
13.0,1,0.044767032,173.7054,2681.603541568206,2279.6276513432836,3694.0385576470585,24,0,3694.0385576470585
10.195,1,0.012455787,197.511,1867.1828137974155,2323.9905588509873,2316.181148108302,5,1,2438.841866021505
9.5,0,0.041951439,32.49,2681.603541568206,1876.909159128978,2316.181148108302,10,0,2348.3546346236562
6.3,0,0.126831854,209.027,2681.603541568206,2279.6276513432836,3694.0385576470585,24,1,3694.0385576470585
10.5,1,0.013551445,142.0154,2681.603541568206,2279.6276513432836,1995.498739224138,0,1,1995.498739224138
14.0,0,0.023831558,103.1332,2681.603541568206,2279.6276513432836,1995.498739224138,0,1,1995.498739224138
8.51,0,0.016176344,192.1478,2681.603541568206,2279.6276513432836,1995.498739224138,0,2,1995.498739224138
8.85,0,0.026814124,103.7964,1867.1828137974155,2279.6276513432836,339.8285004616805,11,2,339.351661981982
13.0,0,0.073229342,254.1014,1867.1828137974155,1876.909159128978,339.8285004616805,24,2,340.3297227272727
10.8,0,0.029107004,240.5222,1867.1828137974155,2323.9905588509873,2316.181148108302,2,1,2340.67526349892
9.8,1,0.14118383,49.2008,2298.995255579399,2279.6276513432836,2316.181148108302,22,1,2298.995255579399
14.15,0,0.042180995,52.0982,1867.1828137974155,1876.909159128978,2316.181148108302,12,0,2277.8442668817206
6.825,0,0.059835659,264.3226,1867.1828137974155,2323.9905588509873,2316.181148108302,5,2,2438.841866021505
7.07,0,0.093861144,115.5834,1867.1828137974155,2323.9905588509873,2316.181148108302,7,1,2192.384797631862
11.15,1,0.105287746,103.2648,1867.1828137974155,2323.9905588509873,2316.181148108302,5,1,2438.841866021505
18.85,1,0.068059156,120.344,2681.603541568206,1876.909159128978,2316.181148108302,10,1,2348.3546346236562
17.1,0,0.127792701,111.1886,2681.603541568206,2279.6276513432836,3694.0385576470585,24,1,3694.0385576470585
13.65,1,0.073060301,196.2426,1867.1828137974155,2323.9905588509873,2316.181148108302,7,1,2192.384797631862
7.96,0,0.028339599,162.4894,2298.995255579399,2279.6276513432836,2316.181148108302,22,1,2298.995255579399
13.15,0,0.043852434,182.695,1867.1828137974155,2323.9905588509873,2316.181148108302,7,1,2192.384797631862
13.3,0,0.063664998,151.6708,2681.603541568206,1876.909159128978,2316.181148108302,10,1,2348.3546346236562
6.235,0,0.119345629,261.991,1867.1828137974155,2323.9905588509873,2316.181148108302,2,2,2340.67526349892
18.7,0,0.014522363,50.2324,2681.603541568206,2279.6276513432836,3694.0385576470585,24,0,3694.0385576470585
17.35,1,0.1977458405,151.005,1867.1828137974155,1876.909159128978,339.8285004616805,24,1,340.3297227272727
9.5,1,0.132521929,228.4668,2681.603541568206,1876.909159128978,2316.181148108302,10,1,2348.3546346236562
20.6,1,0.048207431,188.0556,1867.1828137974155,2323.9905588509873,2316.181148108302,2,1,2340.67526349892
13.85,1,0.056406129,231.43,2681.603541568206,1876.909159128978,2316.181148108302,10,1,2348.3546346236562
15.5,1,0.085834992,49.6692,1867.1828137974155,1876.909159128978,2316.181148108302,12,1,2277.8442668817206
11.6,1,0.077164595,172.5106,1867.1828137974155,1876.909159128978,2316.181148108302,12,1,2277.8442668817206
16.5,1,0.159690469,142.4128,1867.1828137974155,2323.9905588509873,2316.181148108302,5,1,2438.841866021505
8.235,0,0.014456938,184.795,1867.1828137974155,2323.9905588509873,2316.181148108302,5,2,2438.841866021505
17.75,1,0.066336811,154.1656,1867.1828137974155,1876.909159128978,339.8285004616805,24,1,340.3297227272727
13.65,1,0.025899245,81.1302,2298.995255579399,2279.6276513432836,2316.181148108302,22,1,2298.995255579399
17.6,1,0.016060186,47.2402,1867.1828137974155,2323.9905588509873,2316.181148108302,7,1,2192.384797631862
18.7,0,0.104658344,121.2072,1867.1828137974155,2323.9905588509873,2316.181148108302,5,1,2438.841866021505
7.72,0,0.052086085,76.8986,1867.1828137974155,2323.9905588509873,2316.181148108302,7,1,2192.384797631862
21.25,0,0.009998763,182.3608,1867.1828137974155,1876.909159128978,2316.181148108302,12,1,2277.8442668817206
12.35,1,0.1977458405,79.2328,1867.1828137974155,2279.6276513432836,339.8285004616805,11,1,339.351661981982
12.5,0,0.071230537,128.102,1867.1828137974155,2323.9905588509873,2316.181148108302,5,1,2438.841866021505
16.85,0,0.036596012,90.6488,1867.1828137974155,2323.9905588509873,2316.181148108302,2,1,2340.67526349892
8.71,0,0.121149472,93.7778,2298.995255579399,2279.6276513432836,2316.181148108302,22,1,2298.995255579399
7.55,0,0.027164679,152.334,1867.1828137974155,2323.9905588509873,2316.181148108302,5,1,2438.841866021505
13.5,0,0.06082246,85.154,1867.1828137974155,2323.9905588509873,2316.181148108302,2,1,2340.67526349892
7.935,0,0.017191055,51.535,1867.1828137974155,2323.9905588509873,2316.181148108302,7,1,2192.384797631862
10.65,0,0.023971463,54.0272,1867.1828137974155,1876.909159128978,2316.181148108302,12,1,2277.8442668817206
13.0,0,0.0420611,254.1014,1867.1828137974155,2323.9905588509873,2316.181148108302,2,2,2340.67526349892
9.21,0,0.008764786,123.1414,1867.1828137974155,1876.909159128978,2316.181148108302,12,1,2277.8442668817206
18.7,0,0.014675574,50.8324,1867.1828137974155,2323.9905588509873,2316.181148108302,2,0,2340.67526349892
14.0,1,0.029697925,143.0786,2298.995255579399,2279.6276513432836,2316.181148108302,22,1,2298.995255579399
9.0,1,0.069196376,54.3614,2681.603541568206,1876.909159128978,2316.181148108302,10,1,2348.3546346236562
12.65,0,0.121554149,53.7324,1867.1828137974155,1876.909159128978,339.8285004616805,24,1,340.3297227272727
5.765,0,0.0821398,37.2164,2681.603541568206,1876.909159128978,2316.181148108302,10,1,2348.3546346236562
7.235,0,0.077011493,117.3492,1867.1828137974155,2323.9905588509873,2316.181148108302,7,2,2192.384797631862
18.25,0,0.089004389,196.7452,1867.1828137974155,2323.9905588509873,2316.181148108302,7,1,2192.384797631862
8.6,1,0.05443912,128.831,2298.995255579399,2279.6276513432836,2316.181148108302,22,1,2298.995255579399
6.4,0,0.084885375,39.2796,2681.603541568206,1876.909159128978,2316.181148108302,10,1,2348.3546346236562
7.5,0,0.032811503,239.6906,1867.1828137974155,2323.9905588509873,2316.181148108302,2,1,2340.67526349892
12.1,1,0.061299601,56.2614,1867.1828137974155,2323.9905588509873,2316.181148108302,7,0,2192.384797631862
12.5,0,0.17314115,168.4448,1867.1828137974155,2279.6276513432836,339.8285004616805,11,2,339.351661981982
19.6,0,0.025286583,151.8024,1867.1828137974155,1876.909159128978,2316.181148108302,12,2,2277.8442668817206
11.8,0,0.058451805,79.9618,2681.603541568206,2279.6276513432836,3694.0385576470585,24,2,3694.0385576470585
7.535,0,0.081787519,121.044,2681.603541568206,2279.6276513432836,3694.0385576470585,24,0,3694.0385576470585
16.35,0,0.032538896,165.7842,1867.1828137974155,1876.909159128978,2316.181148108302,12,1,2277.8442668817206
17.75,0,0.073396761,35.1216,1867.1828137974155,2323.9905588509873,2316.181148108302,5,1,2438.841866021505
12.15,0,0.145013434,225.0404,1867.1828137974155,2323.9905588509873,2316.181148108302,5,2,2438.841866021505
14.15,0,0.03593692,41.0138,1867.1828137974155,2323.9905588509873,2316.181148108302,5,0,2438.841866021505
5.78,1,0.074206715,263.7568,1867.1828137974155,2323.9905588509873,2316.181148108302,2,1,2340.67526349892
20.1,0,0.077389797,60.8536,2298.995255579399,2279.6276513432836,2316.181148108302,22,2,2298.995255579399
15.15,0,0.048637888,149.7708,1867.1828137974155,1876.909159128978,339.8285004616805,24,1,340.3297227272727
14.85,0,0.060967038,254.3698,1867.1828137974155,2323.9905588509873,2316.181148108302,5,2,2438.841866021505
5.465,1,0.048625599,129.2626,1867.1828137974155,2323.9905588509873,2316.181148108302,7,1,2192.384797631862
18.6,0,0.152294691,98.9358,2681.603541568206,1876.909159128978,2316.181148108302,10,1,2348.3546346236562
9.0,0,0.079279489,77.2644,2298.995255579399,2279.6276513432836,2316.181148108302,22,1,2298.995255579399
19.2,0,0.123449671,89.7488,2681.603541568206,2279.6276513432836,3694.0385576470585,24,1,3694.0385576470585
17.85,0,0.146399663,93.1436,1867.1828137974155,2323.9905588509873,2316.181148108302,7,1,2192.384797631862
8.77,1,0.046844194,174.2422,2681.603541568206,1876.909159128978,2316.181148108302,10,1,2348.3546346236562
5.94,0,0.035084073,176.4344,1867.1828137974155,2323.9905588509873,2316.181148108302,2,1,2340.67526349892
8.93,0,0.006589694,53.2614,2681.603541568206,1876.909159128978,2316.181148108302,10,2,2348.3546346236562
15.35,1,0.054846706,147.3734,2681.603541568206,2279.6276513432836,3694.0385576470585,24,1,3694.0385576470585
9.285,1,0.049280292,245.6144,1867.1828137974155,1876.909159128978,2316.181148108302,12,1,2277.8442668817206
9.8,1,0.056375879,84.5908,2681.603541568206,2279.6276513432836,3694.0385576470585,24,1,3694.0385576470585
8.31,1,0.115911972,177.4028,1867.1828137974155,1876.909159128978,2316.181148108302,12,1,2277.8442668817206
13.35,0,0.139735226,147.5392,1867.1828137974155,2323.9905588509873,2316.181148108302,7,1,2192.384797631862
17.0,0,0.055545797,220.5114,1867.1828137974155,2323.9905588509873,2316.181148108302,7,1,2192.384797631862
5.425,1,0.115119905,88.3514,1867.1828137974155,2323.9905588509873,2316.181148108302,2,1,2340.67526349892
19.0,0,0.017755213,211.7244,1867.1828137974155,2323.9905588509873,2316.181148108302,7,2,2192.384797631862
20.6,0,0.023339367,94.8778,2681.603541568206,2279.6276513432836,3694.0385576470585,24,1,3694.0385576470585
15.1,1,0.086983591,219.8456,2681.603541568206,2279.6276513432836,3694.0385576470585,24,1,3694.0385576470585
5.59,1,0.05671761,62.9168,1867.1828137974155,2323.9905588509873,2316.181148108302,7,1,2192.384797631862
8.5,0,0.097884718,52.5324,1867.1828137974155,1876.909159128978,2316.181148108302,12,1,2277.8442668817206
10.895,1,0.03263762,147.7102,1867.1828137974155,2323.9905588509873,2316.181148108302,2,1,2340.67526349892
8.895,1,0.08125293,49.8008,1867.1828137974155,2323.9905588509873,2316.181148108302,7,1,2192.384797631862
17.7,1,0.016622448,50.2034,2681.603541568206,1876.909159128978,2316.181148108302,10,1,2348.3546346236562
9.31,0,0.037923509,61.651,2298.995255579399,2279.6276513432836,2316.181148108302,22,1,2298.995255579399
17.6,0,0.056379439,42.7454,2681.603541568206,1876.909159128978,2316.181148108302,10,1,2348.3546346236562
17.85,0,0.018097419,96.9094,2681.603541568206,2279.6276513432836,1995.498739224138,0,2,1995.498739224138
19.6,0,0.040550868,45.5718,1867.1828137974155,2279.6276513432836,339.8285004616805,11,0,339.351661981982
13.35,0,0.091723066,148.8708,1867.1828137974155,2323.9905588509873,2316.181148108302,2,1,2340.67526349892
7.475,0,0.148492521,240.6854,1867.1828137974155,2323.9905588509873,2316.181148108302,5,1,2438.841866021505
17.5,0,0.013692598,259.7304,2681.603541568206,2279.6276513432836,1995.498739224138,0,1,1995.498739224138
12.35,1,0.072541731,48.5692,1867.1828137974155,2323.9905588509873,2316.181148108302,7,1,2192.384797631862
11.65,0,0.131770922,151.1024,1867.1828137974155,2323.9905588509873,2316.181148108302,7,1,2192.384797631862
15.7,1,0.018968743,61.9536,1867.1828137974155,2323.9905588509873,2316.181148108302,7,1,2192.384797631862
16.75,1,0.008615,72.4038,1867.1828137974155,2323.9905588509873,2316.181148108302,2,1,2340.67526349892
17.6,0,0.015775777,179.1976,1867.1828137974155,2323.9905588509873,2316.181148108302,2,2,2340.67526349892
10.5,1,0.048207017,45.9376,1867.1828137974155,1876.909159128978,2316.181148108302,12,1,2277.8442668817206
8.485,0,0.058083831,103.199,2298.995255579399,2279.6276513432836,2316.181148108302,22,2,2298.995255579399
15.75,0,0.165838224,36.6506,1867.1828137974155,1876.909159128978,2316.181148108302,12,0,2277.8442668817206
7.3,0,0.086619573,147.6076,1867.1828137974155,2323.9905588509873,2316.181148108302,2,1,2340.67526349892
