Item_Weight,Item_Fat_Content,Item_Visibility,Item_MRP,Outlet_Type,Outlet_Age,Item_Category,Outlet_Identifier_Encoded
14.3,0,0.026299797,79.4302,2316.181148108302,22,1,2298.995255579399
7.93,0,0.07113587,42.7086,2316.181148108302,12,2,2277.8442668817206
14.5,1,0.041313203,42.0454,2316.181148108302,10,1,2348.3546346236562
13.0,1,0.044767032,173.7054,3694.0385576470585,24,0,3694.0385576470585
10.195,1,0.012455787,197.511,2316.181148108302,5,1,2438.841866021505
9.5,0,0.041951439,32.49,2316.181148108302,10,0,2348.3546346236562
6.3,0,0.126831854,209.027,3694.0385576470585,24,1,3694.0385576470585
10.5,1,0.013551445,142.0154,1995.498739224138,0,1,1995.498739224138
14.0,0,0.023831558,103.1332,1995.498739224138,0,1,1995.498739224138
8.51,0,0.016176344,192.1478,1995.498739224138,0,2,1995.498739224138
8.85,0,0.026814124,103.7964,339.8285004616805,11,2,339.351661981982
13.0,0,0.073229342,254.1014,339.8285004616805,24,2,340.3297227272727
10.8,0,0.029107004,240.5222,2316.181148108302,2,1,2340.67526349892
9.8,1,0.14118383,49.2008,2316.181148108302,22,1,2298.995255579399
14.15,0,0.042180995,52.0982,2316.181148108302,12,0,2277.8442668817206
6.825,0,0.059835659,264.3226,2316.181148108302,5,2,2438.841866021505
7.07,0,0.093861144,115.5834,2316.181148108302,7,1,2192.384797631862
11.15,1,0.105287746,103.2648,2316.181148108302,5,1,2438.841866021505
18.85,1,0.068059156,120.344,2316.181148108302,10,1,2348.3546346236562
17.1,0,0.127792701,111.1886,3694.0385576470585,24,1,3694.0385576470585
13.65,1,0.073060301,196.2426,2316.181148108302,7,1,2192.384797631862
7.96,0,0.028339599,162.4894,2316.181148108302,22,1,2298.995255579399
13.15,0,0.043852434,182.695,2316.181148108302,7,1,2192.384797631862
13.3,0,0.063664998,151.6708,2316.181148108302,10,1,2348.3546346236562
6.235,0,0.119345629,261.991,2316.181148108302,2,2,2340.67526349892
18.7,0,0.014522363,50.2324,3694.0385576470585,24,0,3694.0385576470585
17.35,1,0.1977458405,151.005,339.8285004616805,24,1,340.3297227272727
9.5,1,0.132521929,228.4668,2316.181148108302,10,1,2348.3546346236562
