Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Base,Z_Score,IQR_Outlier,Z_Outlier,Visibility_Outlier,Outlet_Age,Item_Category,Outlet_Identifier_Encoded
FDA15,9.3,Low Fat,0.016047301,Dairy,249.8092,OUT049,1999,Medium,Tier 1,Supermarket Type1,3735.138,FDA,-1.0841299354340685,False,False,False,26,Perishables,2348.3546346236562
DRC01,5.92,Regular,0.019278216,Soft Drinks,48.2692,OUT018,2009,Medium,Tier 3,Supermarket Type2,443.4228,DRC,-1.019478149934178,False,False,False,16,Staples,1995.498739224138
FDN15,17.5,Low Fat,0.016760075,Meat,141.618,OUT049,1999,Medium,Tier 1,Supermarket Type1,2097.27,FDN,-1.0698670681788485,False,False,False,26,Perishables,2348.3546346236562
FDX07,19.2,Regular,0.022861152,Fruits and Vegetables,182.095,OUT010,1998,Small,Tier 3,Grocery Store,732.38,FDX,-0.947782296056303,False,False,False,27,Perishables,339.351661981982
NCD19,8.93,Low Fat,0.006589694,Household,53.8614,OUT013,1987,High,Tier 3,Supermarket Type1,994.7052,NCD,-1.273380094941905,False,False,False,38,Household,2298.995255579399
FDP36,10.395,Regular,0.091096531,Baking Goods,51.4008,OUT018,2009,Medium,Tier 3,Supermarket Type2,556.6088,FDP,0.41763248168056727,False,False,False,16,Staples,1995.498739224138
FDO10,13.65,Regular,0.012741089,Snack Foods,57.6588,OUT013,1987,High,Tier 3,Supermarket Type1,343.5528,FDO,-1.1502884413189844,False,False,False,38,Staples,2298.995255579399
FDP10,19.0,Low Fat,0.127469857,Snack Foods,107.7622,OUT027,1985,Medium,Tier 3,Supermarket Type3,4022.7636,FDP,1.145475978172918,False,False,False,40,Staples,3694.0385576470585
FDH17,16.2,Regular,0.016687114,Frozen Foods,96.9726,OUT045,2002,Small,Tier 2,Supermarket Type1,1076.5986,FDH,-1.0713270443533556,False,False,False,23,Perishables,2192.384797631862
FDU28,19.2,Regular,0.09444959,Frozen Foods,187.8214,OUT017,2007,Small,Tier 2,Supermarket Type1,4710.535,FDU,0.4847284130920953,False,False,False,18,Perishables,2340.67526349892
FDY07,11.8,Low Fat,0.057654132,Fruits and Vegetables,45.5402,OUT049,1999,Medium,Tier 1,Supermarket Type1,1516.0266,FDY,-0.25156209841508564,False,False,False,26,Perishables,2348.3546346236562
FDA03,18.5,Regular,0.045463773,Dairy,144.1102,OUT046,1997,Small,Tier 1,Supermarket Type1,2187.153,FDA,-0.4954956204157131,False,False,False,28,Perishables,2277.8442668817206
FDX32,15.1,Regular,0.1000135,Fruits and Vegetables,145.4786,OUT049,1999,Medium,Tier 1,Supermarket Type1,1589.2646,FDX,0.5960642779665024,False,False,False,26,Perishables,2348.3546346236562
FDS46,17.6,Regular,0.047257328,Snack Foods,119.6782,OUT046,1997,Small,Tier 1,Supermarket Type1,2145.2076,FDS,-0.4596059318469157,False,False,False,28,Staples,2277.8442668817206
FDF32,16.35,Low Fat,0.0680243,Fruits and Vegetables,196.4426,OUT013,1987,High,Tier 3,Supermarket Type1,1977.426,FDF,-0.044051261041206546,False,False,False,38,Perishables,2298.995255579399
FDP49,9.0,Regular,0.069088961,Breakfast,56.3614,OUT046,1997,Small,Tier 1,Supermarket Type1,1547.3192,FDP,-0.02274700679678994,False,False,False,28,Staples,2277.8442668817206
NCB42,11.8,Low Fat,0.008596051,Health and Hygiene,115.3492,OUT018,2009,Medium,Tier 3,Supermarket Type2,1621.8888,NCB,-1.233232160873629,False,False,False,16,Household,1995.498739224138
FDP49,9.0,Regular,0.069196376,Breakfast,54.3614,OUT049,1999,Medium,Tier 1,Supermarket Type1,718.3982,FDP,-0.020597593537861527,False,False,False,26,Staples,2348.3546346236562
DRI11,8.26,Low Fat,0.034237682,Hard Drinks,113.2834,OUT027,1985,Medium,Tier 3,Supermarket Type3,2303.668,DRI,-0.7201337886541995,False,False,False,40,Staples,3694.0385576470585
FDU02,13.35,Low Fat,0.10249212,Dairy,230.5352,OUT035,2004,Small,Tier 2,Supermarket Type1,2748.4224,FDU,0.645662366611898,False,False,False,21,Perishables,2438.841866021505
FDN22,18.85,Regular,0.138190277,Snack Foods,250.8724,OUT013,1987,High,Tier 3,Supermarket Type1,3775.086,FDN,1.3599954855907037,False,False,False,38,Staples,2298.995255579399
FDW12,8.315,Regular,0.035399923,Baking Goods,144.5444,OUT027,1985,Medium,Tier 3,Supermarket Type3,4064.0432,FDW,-0.6968769230816982,False,False,False,40,Staples,3694.0385576470585
NCB30,14.6,Low Fat,0.025698134,Household,196.5084,OUT035,2004,Small,Tier 2,Supermarket Type1,1587.2672,NCB,-0.8910132533142161,False,False,False,21,Household,2438.841866021505
FDC37,15.5,Low Fat,0.057556998,Baking Goods,107.6938,OUT019,1985,Small,Tier 1,Grocery Store,214.3876,FDC,-0.2535057851207855,False,False,False,40,Staples,340.3297227272727
FDR28,13.85,Regular,0.025896485,Frozen Foods,165.021,OUT046,1997,Small,Tier 1,Supermarket Type1,4078.025,FDR,-0.8870441775862292,False,False,False,28,Perishables,2277.8442668817206
NCD06,13.0,Low Fat,0.099887103,Household,45.906,OUT017,2007,Small,Tier 2,Supermarket Type1,838.908,NCD,0.5935350279763821,False,False,False,18,Household,2340.67526349892
FDV10,7.645,Regular,0.066693437,Snack Foods,42.3112,OUT035,2004,Small,Tier 2,Supermarket Type1,1065.28,FDV,-0.0706823142276075,False,False,False,21,Staples,2438.841866021505
DRJ59,11.65,Low Fat,0.019356132,Hard Drinks,39.1164,OUT013,1987,High,Tier 3,Supermarket Type1,308.9312,DRJ,-1.0179190224055958,False,False,False,38,Staples,2298.995255579399
FDE51,5.925,Regular,0.161466534,Dairy,45.5086,OUT010,1998,Small,Tier 3,Grocery Store,178.4344,FDE,1.8257618628566856,False,False,False,27,Perishables,339.351661981982
FDC14,14.5,Regular,0.072221801,Canned,43.6454,OUT019,1985,Small,Tier 1,Grocery Store,125.8362,FDC,0.03994226224479,False,False,False,40,Staples,340.3297227272727
FDV38,19.25,Low Fat,0.170348551,Dairy,55.7956,OUT010,1998,Small,Tier 3,Grocery Store,163.7868,FDV,2.0034942568968814,False,False,False,27,Perishables,339.351661981982
NCS17,18.6,Low Fat,0.080829372,Health and Hygiene,96.4436,OUT018,2009,Medium,Tier 3,Supermarket Type2,2741.7644,NCS,0.21218289190142786,False,False,False,16,Household,1995.498739224138
FDP33,18.7,Low Fat,0.08923510800000001,Snack Foods,256.6672,OUT018,2009,Medium,Tier 3,Supermarket Type2,3068.0064,FDP,0.38038472972158305,False,False,False,16,Staples,1995.498739224138
FDO23,17.85,Low Fat,0.146399663,Breads,93.1436,OUT045,2002,Small,Tier 2,Supermarket Type1,2174.5028,FDO,1.5242682884214198,False,False,False,23,Staples,2192.384797631862
DRH01,17.5,Low Fat,0.097904029,Soft Drinks,174.8738,OUT046,1997,Small,Tier 1,Supermarket Type1,2085.2856,DRH,0.5538529952152573,False,False,False,28,Staples,2277.8442668817206
NCX29,10.0,Low Fat,0.089291137,Health and Hygiene,146.7102,OUT049,1999,Medium,Tier 1,Supermarket Type1,3791.0652,NCX,0.3815058904112865,False,False,False,26,Household,2348.3546346236562
FDV20,20.2,Regular,0.059511812,Fruits and Vegetables,128.0678,OUT027,1985,Medium,Tier 3,Supermarket Type3,2797.6916,FDV,-0.21438924524889702,False,False,False,40,Perishables,3694.0385576470585
DRZ11,8.85,Regular,0.113123893,Soft Drinks,122.5388,OUT018,2009,Medium,Tier 3,Supermarket Type2,1609.9044,DRZ,0.8584080152840312,False,False,False,16,Staples,1995.498739224138
FDX10,6.385,Regular,0.123111453,Snack Foods,36.9874,OUT027,1985,Medium,Tier 3,Supermarket Type3,388.1614,FDX,1.0582627272734473,False,False,False,40,Staples,3694.0385576470585
FDB34,15.25,Low Fat,0.026480954,Snack Foods,87.6198,OUT027,1985,Medium,Tier 3,Supermarket Type3,2180.495,FDB,-0.8753487400958169,False,False,False,40,Staples,3694.0385576470585
FDU02,13.35,Low Fat,0.102511504,Dairy,230.6352,OUT046,1997,Small,Tier 1,Supermarket Type1,3435.528,FDU,0.6460502475094548,False,False,False,28,Perishables,2277.8442668817206
FDK43,9.8,Low Fat,0.02681843,Meat,126.002,OUT013,1987,High,Tier 3,Supermarket Type1,2150.534,FDK,-0.8685957224635482,False,False,False,38,Perishables,2298.995255579399
FDA46,13.6,Low Fat,0.117818348,Snack Foods,192.9136,OUT049,1999,Medium,Tier 1,Supermarket Type1,2527.3768,FDA,0.9523457690469398,False,False,False,26,Staples,2348.3546346236562
FDC02,21.35,Low Fat,0.069102831,Canned,259.9278,OUT018,2009,Medium,Tier 3,Supermarket Type2,6768.5228,FDC,-0.022469463046835694,False,False,False,16,Staples,1995.498739224138
FDL50,12.15,Regular,0.042277867,Canned,126.5046,OUT013,1987,High,Tier 3,Supermarket Type1,373.5138,FDL,-0.5592467594381925,False,False,False,38,Staples,2298.995255579399
FDM39,6.42,Low Fat,0.089498926,Dairy,178.1002,OUT010,1998,Small,Tier 3,Grocery Store,358.2004,FDM,0.3856638239555725,False,False,False,27,Perishables,339.351661981982
NCP05,19.6,Low Fat,0.0252841925,Health and Hygiene,153.3024,OUT045,2002,Small,Tier 2,Supermarket Type1,2428.8384,NCP,-0.8992963734419517,False,False,False,23,Household,2192.384797631862
FDV49,10.0,Low Fat,0.025879577,Canned,265.2226,OUT045,2002,Small,Tier 2,Supermarket Type1,5815.0972,FDV,-0.8873825128222945,False,False,False,23,Staples,2192.384797631862
FDL12,15.85,Regular,0.121632721,Baking Goods,60.622,OUT046,1997,Small,Tier 1,Supermarket Type1,2576.646,FDL,1.0286727615591453,False,False,False,28,Staples,2277.8442668817206
FDS02,10.195,Regular,0.1977458405,Dairy,196.8794,OUT019,1985,Small,Tier 1,Grocery Store,780.3176,FDS,3.7053025850298313,True,True,True,40,Perishables,340.3297227272727
NCL17,7.39,Low Fat,0.067779712,Health and Hygiene,143.8812,OUT046,1997,Small,Tier 1,Supermarket Type1,3134.5864,NCL,-0.04894555597370911,False,False,False,28,Household,2277.8442668817206
FDM40,10.195,Low Fat,0.159803853,Frozen Foods,141.5154,OUT013,1987,High,Tier 3,Supermarket Type1,850.8924,FDM,1.792491010678048,False,False,False,38,Perishables,2298.995255579399
FDR13,9.895,Regular,0.028696932,Canned,117.0492,OUT013,1987,High,Tier 3,Supermarket Type1,810.9444,FDR,-0.8310062134962387,False,False,False,38,Staples,2298.995255579399
FDA43,10.895,Low Fat,0.065041581,Fruits and Vegetables,196.3794,OUT017,2007,Small,Tier 2,Supermarket Type1,3121.2704,FDA,-0.10373655421495052,False,False,False,18,Perishables,2340.67526349892
NCP18,12.15,Low Fat,0.028760013,Household,151.4708,OUT017,2007,Small,Tier 2,Supermarket Type1,4815.0656,NCP,-0.8297439397189593,False,False,False,18,Household,2340.67526349892
FDK21,7.905,Low Fat,0.010053105,Snack Foods,249.0408,OUT018,2009,Medium,Tier 3,Supermarket Type2,6258.52,FDK,-1.2040759798321108,False,False,False,16,Staples,1995.498739224138
NCX54,9.195,Low Fat,0.048157338,Household,106.1622,OUT045,2002,Small,Tier 2,Supermarket Type1,2117.244,NCX,-0.44159640406059014,False,False,False,23,Household,2192.384797631862
