Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Item_Group,MRP_per_unit_Weight,Outlet_Age,Item_Category,Outlet_Age_Binned,Outlet_Total_Sales,Outlet_Identifier_Encoded,Outlet_Type_Encoded,Outlet_Size_Encoded,Outlet_Location_Type_Encoded,Outlet_Age_Encoded,Outlet_Age_Binned_Encoded,OutletType_Size,OutletType_Location,OutletType_AgeBinned,OutletSize_AgeBinned,OutletLocation_AgeBinned,OutletType_Size_Encoded,OutletType_Location_Encoded,OutletType_AgeBinned_Encoded,OutletSize_AgeBinned_Encoded,OutletLocation_AgeBinned_Encoded
FDA15,9.3,Low Fat,0.016047301,Dairy,249.8092,OUT049,1999,Medium,Tier 1,Supermarket Type1,3735.138,FD,26.86120430107527,10,Food,New,2183969.8102,2183969.8102,12917342.263,7489718.6916,4482059.072,2183969.8102,10508106.3466,Supermarket Type1_Medium,Supermarket Type1_Tier 1,Supermarket Type1_New,Medium_New,Tier 1_New,2183969.8102,4302364.9784,8656283.5166,4035792.6402,2183969.8102
DRC01,5.92,Regular,0.019278216,Soft Drinks,48.2692,OUT018,2009,Medium,Tier 3,Supermarket Type2,443.4228,DR,8.15358108108108,0,Drinks,New,1851822.83,1851822.83,1851822.83,7489718.6916,7636752.632,1851822.83,10508106.3466,Supermarket Type2_Medium,Supermarket Type2_Tier 3,Supermarket Type2_New,Medium_New,Tier 3_New,1851822.83,1851822.83,1851822.83,4035792.6402,1851822.83
FDN15,17.5,Low Fat,0.016760075,Meat,141.618,OUT049,1999,Medium,Tier 1,Supermarket Type1,2097.27,FD,8.092457142857143,10,Food,New,2183969.8102,2183969.8102,12917342.263,7489718.6916,4482059.072,2183969.8102,10508106.3466,Supermarket Type1_Medium,Supermarket Type1_Tier 1,Supermarket Type1_New,Medium_New,Tier 1_New,2183969.8102,4302364.9784,8656283.5166,4035792.6402,2183969.8102
FDX07,19.2,Regular,0.022861152,Fruits and Vegetables,182.095,OUT010,1998,Small,Tier 3,Grocery Store,732.38,FD,9.484114583333334,11,Food,Moderate,188340.1724,188340.1724,368034.266,8958743.1406,7636752.632,188340.1724,2306735.3406,Grocery Store_Small,Grocery Store_Tier 3,Grocery Store_Moderate,Small_Moderate,Tier 3_Moderate,368034.266,188340.1724,188340.1724,2306735.3406,188340.1724
NCD19,8.93,Low Fat,0.006589694,Household,53.8614,OUT013,1987,High,Tier 3,Supermarket Type1,994.7052,NC,6.031511758118701,22,Non-Consumable,Old,2142663.5782,2142663.5782,12917342.263,2142663.5782,7636752.632,2142663.5782,5776283.7232,Supermarket Type1_High,Supermarket Type1_Tier 3,Supermarket Type1_Old,High_Old,Tier 3_Old,2142663.5782,2142663.5782,2142663.5782,2142663.5782,5596589.6296
FDP36,10.395,Regular,0.091096531,Baking Goods,51.4008,OUT018,2009,Medium,Tier 3,Supermarket Type2,556.6088,FD,4.944761904761904,0,Food,New,1851822.83,1851822.83,1851822.83,7489718.6916,7636752.632,1851822.83,10508106.3466,Supermarket Type2_Medium,Supermarket Type2_Tier 3,Supermarket Type2_New,Medium_New,Tier 3_New,1851822.83,1851822.83,1851822.83,4035792.6402,1851822.83
FDO10,13.65,Regular,0.012741089,Snack Foods,57.6588,OUT013,1987,High,Tier 3,Supermarket Type1,343.5528,FD,4.224087912087912,22,Food,Old,2142663.5782,2142663.5782,12917342.263,2142663.5782,7636752.632,2142663.5782,5776283.7232,Supermarket Type1_High,Supermarket Type1_Tier 3,Supermarket Type1_Old,High_Old,Tier 3_Old,2142663.5782,2142663.5782,2142663.5782,2142663.5782,5596589.6296
FDP10,19.0,Low Fat,0.127469857,Snack Foods,107.7622,OUT027,1985,Medium,Tier 3,Supermarket Type3,4022.7636,FD,5.671694736842106,24,Food,Old,3453926.0513999998,3453926.0514,3453926.0513999998,7489718.6916,7636752.632,3633620.145,5776283.7232,Supermarket Type3_Medium,Supermarket Type3_Tier 3,Supermarket Type3_Old,Medium_Old,Tier 3_Old,3453926.0513999998,3453926.0513999998,3453926.0513999998,3453926.0513999998,5596589.6296
FDH17,16.2,Regular,0.016687114,Frozen Foods,96.9726,OUT045,2002,Small,Tier 2,Supermarket Type1,1076.5986,FD,5.985962962962963,7,Food,New,2036725.477,2036725.477,12917342.263,8958743.1406,6472313.7064,2036725.477,10508106.3466,Supermarket Type1_Small,Supermarket Type1_Tier 2,Supermarket Type1_New,Small_New,Tier 2_New,8590708.8746,6472313.7064,8656283.5166,6472313.7064,6472313.7064
FDU28,19.2,Regular,0.09444959,Frozen Foods,187.8214,OUT017,2007,Small,Tier 2,Supermarket Type1,4710.535,FD,9.782364583333335,2,Food,New,2167465.2939999998,2167465.2939999998,12917342.263,8958743.1406,6472313.7064,2167465.2939999998,10508106.3466,Supermarket Type1_Small,Supermarket Type1_Tier 2,Supermarket Type1_New,Small_New,Tier 2_New,8590708.8746,6472313.7064,8656283.5166,6472313.7064,6472313.7064
FDY07,11.8,Low Fat,0.057654132,Fruits and Vegetables,45.5402,OUT049,1999,Medium,Tier 1,Supermarket Type1,1516.0266,FD,3.859338983050847,10,Food,New,2183969.8102,2183969.8102,12917342.263,7489718.6916,4482059.072,2183969.8102,10508106.3466,Supermarket Type1_Medium,Supermarket Type1_Tier 1,Supermarket Type1_New,Medium_New,Tier 1_New,2183969.8102,4302364.9784,8656283.5166,4035792.6402,2183969.8102
FDA03,18.5,Regular,0.045463773,Dairy,144.1102,OUT046,1997,Small,Tier 1,Supermarket Type1,2187.153,FD,7.78974054054054,12,Food,Moderate,2118395.1682,2118395.1682,12917342.263,8958743.1406,4482059.072,2118395.1682,2306735.3406,Supermarket Type1_Small,Supermarket Type1_Tier 1,Supermarket Type1_Moderate,Small_Moderate,Tier 1_Moderate,8590708.8746,4302364.9784,2118395.1682,2306735.3406,2118395.1682
FDX32,15.1,Regular,0.1000135,Fruits and Vegetables,145.4786,OUT049,1999,Medium,Tier 1,Supermarket Type1,1589.2646,FD,9.634344370860928,10,Food,New,2183969.8102,2183969.8102,12917342.263,7489718.6916,4482059.072,2183969.8102,10508106.3466,Supermarket Type1_Medium,Supermarket Type1_Tier 1,Supermarket Type1_New,Medium_New,Tier 1_New,2183969.8102,4302364.9784,8656283.5166,4035792.6402,2183969.8102
FDS46,17.6,Regular,0.047257328,Snack Foods,119.6782,OUT046,1997,Small,Tier 1,Supermarket Type1,2145.2076,FD,6.799897727272727,12,Food,Moderate,2118395.1682,2118395.1682,12917342.263,8958743.1406,4482059.072,2118395.1682,2306735.3406,Supermarket Type1_Small,Supermarket Type1_Tier 1,Supermarket Type1_Moderate,Small_Moderate,Tier 1_Moderate,8590708.8746,4302364.9784,2118395.1682,2306735.3406,2118395.1682
FDF32,16.35,Low Fat,0.0680243,Fruits and Vegetables,196.4426,OUT013,1987,High,Tier 3,Supermarket Type1,1977.426,FD,12.014837920489295,22,Food,Old,2142663.5782,2142663.5782,12917342.263,2142663.5782,7636752.632,2142663.5782,5776283.7232,Supermarket Type1_High,Supermarket Type1_Tier 3,Supermarket Type1_Old,High_Old,Tier 3_Old,2142663.5782,2142663.5782,2142663.5782,2142663.5782,5596589.6296
FDP49,9.0,Regular,0.069088961,Breakfast,56.3614,OUT046,1997,Small,Tier 1,Supermarket Type1,1547.3192,FD,6.262377777777778,12,Food,Moderate,2118395.1682,2118395.1682,12917342.263,8958743.1406,4482059.072,2118395.1682,2306735.3406,Supermarket Type1_Small,Supermarket Type1_Tier 1,Supermarket Type1_Moderate,Small_Moderate,Tier 1_Moderate,8590708.8746,4302364.9784,2118395.1682,2306735.3406,2118395.1682
NCB42,11.8,Low Fat,0.008596051,Health and Hygiene,115.3492,OUT018,2009,Medium,Tier 3,Supermarket Type2,1621.8888,NC,9.77535593220339,0,Non-Consumable,New,1851822.83,1851822.83,1851822.83,7489718.6916,7636752.632,1851822.83,10508106.3466,Supermarket Type2_Medium,Supermarket Type2_Tier 3,Supermarket Type2_New,Medium_New,Tier 3_New,1851822.83,1851822.83,1851822.83,4035792.6402,1851822.83
FDP49,9.0,Regular,0.069196376,Breakfast,54.3614,OUT049,1999,Medium,Tier 1,Supermarket Type1,718.3982,FD,6.040155555555556,10,Food,New,2183969.8102,2183969.8102,12917342.263,7489718.6916,4482059.072,2183969.8102,10508106.3466,Supermarket Type1_Medium,Supermarket Type1_Tier 1,Supermarket Type1_New,Medium_New,Tier 1_New,2183969.8102,4302364.9784,8656283.5166,4035792.6402,2183969.8102
DRI11,8.26,Low Fat,0.034237682,Hard Drinks,113.2834,OUT027,1985,Medium,Tier 3,Supermarket Type3,2303.668,DR,13.714697336561743,24,Drinks,Old,3453926.0513999998,3453926.0514,3453926.0513999998,7489718.6916,7636752.632,3633620.145,5776283.7232,Supermarket Type3_Medium,Supermarket Type3_Tier 3,Supermarket Type3_Old,Medium_Old,Tier 3_Old,3453926.0513999998,3453926.0513999998,3453926.0513999998,3453926.0513999998,5596589.6296
FDU02,13.35,Low Fat,0.10249212,Dairy,230.5352,OUT035,2004,Small,Tier 2,Supermarket Type1,2748.4224,FD,17.268554307116105,5,Food,New,2268122.9354,2268122.9354,12917342.263,8958743.1406,6472313.7064,2268122.9354,10508106.3466,Supermarket Type1_Small,Supermarket Type1_Tier 2,Supermarket Type1_New,Small_New,Tier 2_New,8590708.8746,6472313.7064,8656283.5166,6472313.7064,6472313.7064
FDN22,18.85,Regular,0.138190277,Snack Foods,250.8724,OUT013,1987,High,Tier 3,Supermarket Type1,3775.086,FD,13.308880636604773,22,Food,Old,2142663.5782,2142663.5782,12917342.263,2142663.5782,7636752.632,2142663.5782,5776283.7232,Supermarket Type1_High,Supermarket Type1_Tier 3,Supermarket Type1_Old,High_Old,Tier 3_Old,2142663.5782,2142663.5782,2142663.5782,2142663.5782,5596589.6296
